함함안함함 팀 최종분석 결과,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
해결과제1 결과물,,,,,,,,해결과제2 결과물,,,,
,,,,,,,,,,,,
위험순위,시설명/주소지,중심점 위치,,반경범위,,,,위험순위,시설명/주소지,시설물 설치 위치,,비고
,,,,,,,,6,성산초등학교,37.148776,127.065891,가드레일
,,,,,,,,6,성산초등학교,37.149674,127.06476,가드레일
,,,,,,,,6,성산초등학교,37.149686,127.068138,규제표지
,,,,,,,,6,성산초등학교,37.148776,127.065891,단속카메라
,,,,,,,,6,성산초등학교,37.150587,127.068133,가드레일
,,,,,,,,6,성산초등학교,37.149674,127.06476,지시표지
,,,,,,,,6,성산초등학교,37.149678,127.065886,규제표지
,,,,,,,,7,운암초등학교,37.146105,127.074915,과속방지턱
,,,,,,,,7,운암초등학교,37.146109,127.076041,가드레일
,,,,,,,,7,운암초등학교,37.146109,127.076041,과속방지턱
,,,,,,,,8,세교복지타운어린이집,37.176644,127.045455,과속방지턱
,,,,,,,,8,세교복지타운어린이집,37.176639,127.044328,단속카메라
,,,,,,,,8,세교복지타운어린이집,37.176644,127.045455,가드레일
,,,,,,,,8,세교복지타운어린이집,37.176639,127.044328,가드레일
,,,,,,,,8,세교복지타운어린이집,37.176639,127.044328,주의표지
,,,,,,,,8,세교복지타운어린이집,37.177549,127.046576,가드레일
,,,,,,,,8,세교복지타운어린이집,37.176639,127.044328,과속방지턱
,,,,,,,,9,동화마을유치원,37.156934,127.078233,가드레일
,,,,,,,,9,동화마을유치원,37.158736,127.078223,단속카메라
,,,,,,,,9,동화마을유치원,37.156934,127.078233,과속방지턱
,,,,,,,,9,동화마을유치원,37.15693,127.077107,가드레일
,,,,,,,,11,오산유치원,37.15239,127.068123,가드레일
,,,,,,,,12,문시초등학교,37.174836,127.044339,주의표지
,,,,,,,,12,문시초등학교,37.172137,127.045482,규제표지
,,,,,,,,14,청원어린이집,37.156012,127.072607,미끄럼포장도로
,,,,,,,,14,청원어린이집,37.151513,127.074885,가드레일
,,,,,,,,14,청원어린이집,37.156012,127.072607,가드레일
,,,,,,,,14,청원어린이집,37.156012,127.072607,단속카메라
,,,,,,,,14,청원어린이집,37.15332,127.076001,가드레일
,,,,,,,,15,운천초등학교,37.156032,127.078238,주의표지
,,,,,,,,15,운천초등학교,37.156032,127.078238,지시표지
,,,,,,,,15,운천초등학교,37.156032,127.078238,가드레일
,,,,,,,,16,시립오산어린이집,37.146101,127.073789,미끄럼포장도로
,,,,,,,,16,시립오산어린이집,37.146982,127.068154,가드레일
,,,,,,,,16,시립오산어린이집,37.148805,127.073774,단속카메라
,,,,,,,,16,시립오산어린이집,37.148805,127.073774,주의표지
,,,,,,,,17,시립비둘기어린이집,37.134379,127.072729,과속방지턱
,,,,,,,,18,하얀뜰어린이집,37.130761,127.069372,지시표지
,,,,,,,,19,대일어린이집,37.155094,127.068108,단속카메라
,,,,,,,,19,대일어린이집,37.155094,127.068108,지시표지
,,,,,,,,19,대일어린이집,37.154193,127.068113,가드레일
,,,,,,,,20,시립예일어린이집,37.135264,127.06822,과속방지턱
,,,,,,,,20,시립예일어린이집,37.134362,127.068225,과속방지턱
,,,,,,,,20,시립예일어린이집,37.136149,127.063712,가드레일
